Country,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
Afghanistan,246.5212698,237.5095919,228.7571907,221.5255718,214.332694,207.3887022,200.9056401,195.4369582,191.801119,186.6689494,183.9413871
Albania,49.71344604,48.40928803,46.58618307,45.39339952,45.47340686,43.89107262,43.24117276,42.52262172,42.29977276,41.01878796,40.48112425
Algeria,50.07737958,48.91449342,47.70929774,46.56703336,46.22069303,45.25917542,45.00178358,44.78195599,44.36252396,44.5390937,43.68351173
American Samoa,71.72713803,70.73704503,70.09403437,68.60827551,68.06073932,65.33687228,63.71634665,61.36924323,60.79599084,59.26105942,58.93948537
Andean Latin America,46.65276471,46.13971849,46.45117482,45.50294979,43.72550862,41.87222391,39.59454363,36.71909803,34.60146143,33.50749881,32.77592701
Andorra,18.79049655,18.61435838,18.48939132,18.28150028,18.38400112,17.67548718,17.18934178,16.31547287,16.65214583,15.6068274,15.56947846
Angola,142.4036056,136.3088262,129.5574596,123.4613727,117.943545,113.6983906,109.8699217,103.2917847,100.2394801,97.12452931,95.2199092
Antigua and Barbuda,39.63828681,38.98634198,38.16955931,37.70120805,37.57475562,35.9216454,35.03306984,34.13568665,33.58601962,32.52075795,32.35337088
Argentina,40.23538296,38.33682105,37.99817355,37.34231263,37.79314029,36.00621029,35.05016878,33.11331248,33.08692385,31.83807343,31.05788284
Armenia,82.93765424,81.78156822,80.23465274,78.05489979,75.99891371,72.48638652,68.78030529,66.48719723,67.15583172,64.86230501,64.81278003
Australasia,14.71734403,14.42797937,13.89214395,13.33494684,13.52056912,12.39336201,11.66511909,11.17765565,10.98730679,10.29120486,10.45977467
Australia,14.9214049,14.64683301,14.11563395,13.57171256,13.72762589,12.65972531,11.87449047,11.47267944,11.27679379,10.58643985,10.79595183
Austria,23.62822588,22.77524312,22.75896815,21.8387985,21.51692963,20.25083037,19.71503977,18.87390394,18.85776732,17.81297664,17.58634935
Azerbaijan,99.86954847,97.72392921,95.41624018,93.80287278,93.23739979,89.90256184,87.32422763,83.7529467,83.30039503,80.71655579,80.19455282
Bahamas,36.20133855,36.23398836,36.60143024,35.87263571,36.13430626,34.56431003,33.94894872,33.07873475,33.59640014,32.50757344,32.16057828
Bahrain,88.86442897,83.00833631,76.99191472,73.46772115,70.64068619,69.80218795,67.35192003,64.92148385,65.48333615,63.6693942,62.90044938
Bangladesh,147.1335951,145.799141,141.6163784,139.4862591,131.2746012,123.9971466,118.8430624,117.2932635,113.2967435,109.4040431,108.5254782
Barbados,42.03754127,41.01968212,38.8693829,37.8808612,38.28934071,36.43140002,35.9775902,35.99840608,35.92143363,35.18312349,35.06816141
Belarus,70.99265023,70.04607008,69.74743548,69.45093706,69.00447218,60.02491747,57.6804201,54.95603488,52.68628082,50.78554255,50.71194995
Belgium,26.18526465,26.06965398,25.513991,24.67241307,24.01711443,23.06005562,21.94982242,20.19366478,20.47646879,19.27290855,19.12751273
Belize,56.00205305,53.50489755,52.59248965,51.02559747,49.93277552,47.53409196,47.12128982,45.55579528,45.92906629,44.52587876,44.21203868
Benin,133.7394996,131.5784182,130.0720519,128.8129703,127.6680817,126.9463514,124.616729,120.7597656,119.2855887,115.8053419,113.1595756
Bermuda,23.709955,22.84361066,22.05552844,21.31738054,20.97008543,20.28377544,19.74047411,18.9766801,18.4873708,17.8010947,17.6436257
Bhutan,98.47272764,95.36678354,92.66924098,89.76403972,86.93564959,84.33145055,81.98371391,79.60675392,77.3657221,74.54665333,73.10805519
Bolivia,75.86726151,73.65488695,71.50127965,69.18101269,66.55719147,63.95531504,62.09640714,59.66622338,56.75662296,54.62555759,53.87507204
Bosnia and Herzegovina,66.13371709,63.17399951,63.51900179,62.43105667,62.36692333,60.76096775,60.69196231,60.16566452,60.87582209,58.97572422,58.07743401
Botswana,76.95135872,79.59804133,81.07287338,81.04913856,80.46615285,79.05927997,77.94419696,76.59289047,75.07226869,72.00154318,69.80400608
