country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,100,98.48,101.31,103.97,104.08,104.49,107.67,110.96,113.26,115.11,115.82,121.16,125.58,130.49,133.67,135.24,135.26,136.87,140.04,138.68,146.32,140.73,150.18,155.31,155.69,157.22
Austria,100,103.86,97.75,93.3,90.64,90.38,98.28,93.02,98.53,94.67,97.1,101.57,104.08,107.9,106.48,107.37,100.9,96.02,88.81,81.47,81.54,77.1,73.97,73.88,68.78,67
Belgium,100,97.39,94.71,93.28,93.26,92.91,90.3,87.44,88.35,82.21,83.32,80.97,78.08,77.69,80.43,76.86,73.47,71.07,64.46,57.88,58.9,54.7,51.37,49.35,47.74,46.94
Canada,100,95.56,98.46,100.23,104.92,107.34,110.35,116.88,119.02,121.55,119.93,114.23,112.05,110.87,104.98,101.49,96.81,96,92.68,86.21,87.93,85.79,81.71,80.28,79.68,78.27
Czech Republic,100,98,94.73,92.63,59.7,56.67,59.17,62.41,55.19,50.72,39.29,40.46,38.85,38.85,38.63,37.49,36.65,36.25,33.65,31.02,29.68,27.86,26.04,24.15,22.95,22.26
Denmark,100,116,101.37,101.4,102.41,96.41,107.74,92.2,84.91,78.65,74.47,73.52,72.29,75.14,69.91,67.16,66.96,62.5,56.95,50.65,48.9,46.15,42.54,40.95,38.05,37.78
Estonia,100,92.16,59.88,52.73,59.79,61.09,66.79,65.58,58.96,56.32,57.45,59.95,60.82,61.9,58.03,53.32,51.51,57.15,53.58,46.44,54.68,52.24,47.99,44.52,44.04,39.7
Europe,100,98.42,96.65,93.38,89.4,88.19,87.05,83.88,81.86,79.76,76.35,74.89,72.99,72.41,71.72,70.26,68.54,67.13,62.17,57.26,56.37,54.73,52.5,50.36,47.94,47.58
Finland,100,94.51,90.65,91.07,90.99,84.28,85.67,84.47,80.19,79.48,76.43,77.19,76.64,79.87,75.57,66.29,71.84,68.12,62.25,56.39,59.44,54.42,51.49,49.94,47.03,43.58
France,100,101.81,101.33,95.89,93.24,90.87,89.57,86.29,87.93,84.86,82.61,80.31,78.69,76.58,74.97,72.49,68.57,65.2,60.2,56.08,55.07,51.87,50.02,48.82,44.44,42.7
Germany,100,91.61,86.54,82.82,76.33,75.11,72.61,70.33,69.52,68.66,66.81,64.12,61.43,59.49,57.15,54.55,53.97,51.46,48.91,45.42,46.22,45.51,44.03,43.88,42.25,41.09
Greece,100,103.05,105.03,104.12,106.98,101.04,102.54,106.66,113.58,112.94,110.66,117.62,117.89,121.02,122.71,128.09,127.66,127.85,121.41,116.87,98.8,92.31,74.03,75.71,74.07,73.32
Hungary,100,85.43,77.31,72.8,74.47,75.32,77.39,78,76.43,77.2,72.83,73.75,76.2,72.99,72.02,59.74,60.54,58.79,57.74,55.3,54.35,49.4,43.78,42.54,42.34,43.46
Iceland,100,100.91,106.01,109.68,108.93,106.81,111.77,109.27,106.41,104.16,101.42,95.16,99.81,99.18,100.95,95.58,95.98,99.67,92.2,92.04,84.24,79.58,78.75,79.15,77.49,80.39
Ireland,100,101.58,107.8,101.57,100.53,98.62,100.24,96.94,100.85,101.13,103.34,103.68,98.54,97.13,99.13,100.56,97.65,95.49,85.94,68.81,63.36,56.38,57.99,56.86,56.16,58.16
Italy,100,103.38,105.06,100.12,95.23,93.86,90.31,86.66,81.16,76.52,71.57,69.71,66.84,66.1,63.81,60.84,57.66,55.57,51.53,47.7,46.9,45.26,42.11,39.45,38.85,37.65
Japan,100,102.21,100.74,100.1,101.93,104.97,104.42,105.3,100.13,101.09,101.82,100.8,103.37,102.45,99.04,97.76,93.52,89.02,82.34,78.48,78.3,75.2,73.85,72.27,70.65,68.64
Latvia,100,91.15,74.56,65.54,60.01,55.19,54.94,53.04,49.18,47.56,46.83,49.93,48.58,50.45,49.54,47.83,48.58,48.42,44.43,41.78,44.62,38.4,38.57,38.36,38.38,38.56
Luxembourg,100,112.96,112.65,108.78,100.43,85.9,86.31,87.77,85.58,91.01,102.27,105.8,106.41,112.85,134.3,136.93,121.19,107.04,96.45,84.09,84.05,83.94,76.32,67.57,62.26,54.18
Netherlands,100,97.8,95.02,92.76,86.43,83.56,81.13,75.44,72.57,72.04,68.76,66.65,64.79,64.12,61.89,60.19,58.77,56.09,54.58,49.41,48.47,45.92,43.23,41.21,36.93,35.89
New Zealand,100,101.47,110.65,111.49,116.61,121.15,127.13,136.19,130.87,139.72,147.23,153.19,156.3,162.76,160.01,169.56,169.13,165.25,167.44,157.43,158.31,158.45,165.33,165.81,167.92,169.92
